Date,Open,High,Low,Close,Adj Close,Volume
2005-08-05,933.333008,933.333008,793.333008,12693.328125,271.370636,9334500
2005-08-08,701.333008,793.333008,676.0,11520.0,246.286072,3774750
2005-08-09,720.0,757.333008,690.666992,11456.0,244.917816,1401750
2005-08-10,700.0,733.333008,688.0,11008.0,235.340027,2083500
2005-08-11,688.0,700.0,665.333008,10645.328125,227.586456,1680000
2005-08-12,670.666992,685.333008,666.0,10709.328125,228.954712,2384250
2005-08-16,681.333008,690.666992,662.666992,10688.0,228.498749,1291500
2005-08-17,653.333008,659.333008,635.333008,10197.328125,218.008682,1428000
2005-08-18,636.666992,646.666992,603.333008,9749.328125,208.430878,1352250
2005-08-19,596.0,630.666992,596.0,9898.671875,211.623703,1238250
2005-08-22,630.666992,630.666992,588.0,9440.0,201.817749,1263750
2005-08-23,589.333008,594.666992,579.333008,9269.328125,198.168961,992250
2005-08-24,574.0,582.0,566.666992,9066.671875,193.836365,666750
2005-08-25,560.666992,566.666992,554.0,8864.0,189.503448,597750
2005-08-26,554.666992,566.666992,540.666992,8682.671875,185.626846,807000
2005-08-29,540.0,540.0,502.666992,8106.671875,173.312531,951750
2005-08-30,506.666992,525.333008,500.666992,8405.328125,179.697495,663000
2005-08-31,508.0,528.666992,508.0,8277.328125,176.960983,601500
2005-09-01,528.0,560.0,526.666992,8640.0,184.714554,816000
2005-09-02,536.0,555.333008,536.0,8629.328125,184.486404,536250
2005-09-05,533.333008,582.666992,533.333008,9056.0,193.608231,1288500
2005-09-06,550.666992,570.0,550.666992,8874.671875,189.731598,609000
2005-09-07,562.666992,568.0,553.333008,8874.671875,189.731598,588000
2005-09-08,559.333008,620.0,540.666992,9386.671875,200.677643,3742500
2005-09-09,594.666992,598.0,582.0,9429.328125,201.5896,714000
2005-09-12,596.0,596.0,574.0,9184.0,196.344727,885750
2005-09-13,566.666992,572.666992,550.0,8810.671875,188.363358,866250
2005-09-14,552.0,560.666992,545.333008,8970.671875,191.783981,468000
2005-09-15,560.0,600.0,560.0,9120.0,194.976456,1318500
2005-09-16,570.0,582.0,560.0,9162.671875,195.888763,527250
2005-09-20,574.666992,578.666992,555.333008,8917.328125,190.643539,585000
2005-09-21,553.333008,578.666992,553.333008,9258.671875,197.941147,623250
2005-09-22,571.333008,665.333008,571.333008,10645.328125,227.586456,5651250
2005-09-23,685.333008,700.0,614.0,9909.328125,211.851517,2742000
2005-09-26,625.333008,637.333008,614.666992,9952.0,212.763809,1107000
2005-09-27,617.333008,629.333008,601.333008,9621.328125,205.694382,1215750
2005-09-28,602.666992,610.666992,589.333008,9450.671875,202.045898,879750
2005-09-29,596.0,619.333008,596.0,9664.0,206.606659,1242750
2005-09-30,619.333008,619.333008,600.0,9600.0,205.238388,549750
2005-10-04,606.666992,626.666992,604.666992,9930.671875,212.307831,1030500
2005-10-05,629.333008,629.333008,608.0,9866.671875,210.939575,997500
2005-10-06,616.0,616.666992,601.333008,9728.0,207.974915,543750
2005-10-07,608.0,623.333008,605.333008,9920.0,212.079666,747750
2005-10-10,626.666992,661.333008,621.333008,10442.671875,223.253876,1825500
2005-10-11,657.333008,662.666992,644.0,10464.0,223.709854,1001250
2005-10-12,653.333008,666.666992,644.0,10357.328125,221.429306,1182750
2005-10-13,644.0,658.0,640.666992,10453.328125,223.481689,465750
2005-10-14,658.0,658.0,630.666992,10133.328125,216.640427,631500
2005-10-17,633.333008,646.0,573.333008,9354.671875,199.993515,591750
2005-10-18,586.666992,598.0,586.666992,9472.0,202.501877,387750
2005-10-19,582.666992,594.666992,550.0,8885.328125,189.959412,957000
2005-10-20,565.333008,571.333008,558.0,9077.328125,194.064194,397500
2005-10-21,556.666992,566.666992,556.0,8928.0,190.871704,396000
2005-10-24,570.666992,574.666992,560.666992,8970.671875,191.783981,336750
2005-10-25,570.666992,570.666992,560.666992,9098.671875,194.520493,370500
2005-10-26,568.666992,635.333008,568.666992,9920.0,212.079666,1020000
2005-10-27,600.666992,624.0,600.666992,9824.0,210.027283,378000
2005-10-28,600.666992,611.333008,587.333008,9600.0,205.238388,462000
2005-10-31,597.333008,610.666992,597.333008,9642.671875,206.150665,387750
2005-11-01,603.333008,622.666992,594.666992,9557.328125,204.326126,470250
2005-11-02,597.333008,597.333008,578.666992,9493.328125,202.957855,484500
2005-11-03,586.666992,590.666992,578.0,9386.671875,200.677643,332250
2005-11-04,586.666992,593.333008,584.0,9344.0,199.765366,306750
2005-11-07,578.666992,586.666992,571.333008,9237.328125,197.484833,294750
2005-11-08,577.333008,588.666992,572.666992,9194.671875,196.572891,287250
2005-11-09,572.666992,582.666992,572.666992,9184.0,196.344727,144000
2005-11-10,574.666992,586.0,572.0,9365.328125,200.221329,516000
2005-11-11,584.0,607.333008,583.333008,9600.0,205.238388,520500
2005-11-14,605.333008,605.333008,586.666992,9386.671875,200.677643,500250
2005-11-15,577.333008,585.333008,568.0,9216.0,197.028854,684000
2005-11-16,576.0,579.333008,566.666992,9077.328125,194.064194,522000
2005-11-17,576.0,580.0,565.333008,9088.0,194.292328,584250
2005-11-18,566.666992,578.0,565.333008,9088.0,194.292328,694500
2005-11-21,568.0,577.333008,565.333008,9088.0,194.292328,578250
2005-11-22,558.666992,573.333008,558.666992,8970.671875,191.783981,545250
2005-11-23,564.0,573.333008,564.0,9045.328125,193.380066,870000
2005-11-24,572.0,597.333008,568.0,9557.328125,204.326126,1890000
2005-11-25,601.333008,626.666992,588.0,9450.671875,202.045898,2208750
2005-11-28,612.0,660.0,601.333008,9984.0,213.447922,2148750
2005-11-29,626.666992,626.666992,594.0,9578.671875,204.782425,1101750
2005-11-30,594.666992,621.333008,594.666992,9898.671875,211.623703,1986750
2005-12-01,624.0,656.0,610.666992,10133.328125,216.640427,5081250
2005-12-02,656.0,680.0,642.666992,10538.671875,225.306259,6035250
2005-12-05,668.0,678.666992,646.666992,10453.328125,223.481689,3848250
2005-12-06,653.333008,658.0,628.0,10133.328125,216.640427,3285000
2005-12-07,632.666992,644.666992,608.0,9813.328125,209.799149,2373000
2005-12-08,610.666992,659.333008,610.666992,10090.671875,215.72847,4895250
2005-12-09,631.333008,710.666992,631.333008,10794.671875,230.779282,5874750
2005-12-12,680.0,693.333008,644.666992,10570.671875,225.990372,2949000
2005-12-13,653.333008,684.0,620.0,10133.328125,216.640427,5078250
