Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,11450.0,11450.0,11450.0,11450.0,11450.0,0
2017-03-28,11450.0,11450.0,11450.0,11450.0,11450.0,0
2017-03-29,11450.0,11450.0,11450.0,11450.0,11450.0,0
2017-03-30,11450.0,11450.0,11450.0,11450.0,11450.0,0
2017-03-31,7970.0,8480.0,7190.0,7200.0,7200.0,1116810
2017-04-03,7150.0,7160.0,6930.0,7020.0,7020.0,302679
2017-04-04,7000.0,7240.0,7000.0,7100.0,7100.0,273423
2017-04-05,7100.0,7180.0,7030.0,7090.0,7090.0,131685
2017-04-06,7050.0,7120.0,7000.0,7040.0,7040.0,108397
2017-04-07,7130.0,7170.0,7060.0,7070.0,7070.0,111213
2017-04-10,7110.0,7110.0,6950.0,6980.0,6980.0,113657
2017-04-11,7000.0,7050.0,6780.0,7030.0,7030.0,160662
2017-04-12,7030.0,7040.0,6920.0,6980.0,6980.0,76125
2017-04-13,6950.0,7040.0,6900.0,6990.0,6990.0,49144
2017-04-14,6990.0,7010.0,6860.0,6930.0,6930.0,78399
2017-04-17,6950.0,6990.0,6780.0,6860.0,6860.0,130832
2017-04-18,6880.0,6890.0,6810.0,6880.0,6880.0,52832
2017-04-19,6890.0,6890.0,6810.0,6830.0,6830.0,58427
2017-04-20,6830.0,6960.0,6830.0,6920.0,6920.0,61151
2017-04-21,6930.0,6950.0,6870.0,6900.0,6900.0,53041
2017-04-24,6900.0,6960.0,6790.0,6840.0,6840.0,57155
2017-04-25,6810.0,6920.0,6810.0,6870.0,6870.0,27464
2017-04-26,6880.0,6910.0,6820.0,6880.0,6880.0,89430
2017-04-27,6840.0,6900.0,6700.0,6800.0,6800.0,70355
2017-04-28,6830.0,6830.0,6650.0,6700.0,6700.0,66467
2017-05-02,6700.0,6730.0,6550.0,6550.0,6550.0,69515
2017-05-04,6550.0,6660.0,6510.0,6640.0,6640.0,42840
2017-05-08,6640.0,6670.0,6590.0,6660.0,6660.0,50954
2017-05-10,6650.0,6820.0,6630.0,6790.0,6790.0,90976
2017-05-11,6790.0,6830.0,6730.0,6800.0,6800.0,32615
2017-05-12,6760.0,6800.0,6670.0,6740.0,6740.0,35523
2017-05-15,6740.0,6750.0,6650.0,6690.0,6690.0,31642
2017-05-16,6660.0,6720.0,6510.0,6590.0,6590.0,67711
2017-05-17,6580.0,6590.0,6430.0,6480.0,6480.0,103142
2017-05-18,6470.0,6500.0,6330.0,6370.0,6370.0,71118
2017-05-19,6370.0,6460.0,6370.0,6380.0,6380.0,29500
2017-05-22,6390.0,6450.0,6290.0,6320.0,6320.0,51058
2017-05-23,6450.0,6450.0,6190.0,6240.0,6240.0,171014
2017-05-24,6240.0,6280.0,6190.0,6240.0,6240.0,66061
2017-05-25,6270.0,6310.0,6210.0,6300.0,6300.0,45992
2017-05-26,6320.0,6440.0,6310.0,6380.0,6380.0,68632
2017-05-29,6400.0,6480.0,6360.0,6380.0,6380.0,62953
2017-05-30,6420.0,6480.0,6380.0,6480.0,6480.0,48928
2017-05-31,6490.0,6490.0,6420.0,6470.0,6470.0,41696
2017-06-01,6470.0,6470.0,6400.0,6470.0,6470.0,30849
2017-06-02,6470.0,6740.0,6450.0,6630.0,6630.0,121866
2017-06-05,6570.0,6610.0,6480.0,6610.0,6610.0,47465
2017-06-07,6610.0,6610.0,6510.0,6510.0,6510.0,58729
2017-06-08,6550.0,6560.0,6370.0,6390.0,6390.0,55432
2017-06-09,6440.0,6540.0,6360.0,6500.0,6500.0,53641
2017-06-12,6450.0,6540.0,6450.0,6470.0,6470.0,29753
2017-06-13,6450.0,6610.0,6450.0,6470.0,6470.0,70007
2017-06-14,6460.0,6520.0,6430.0,6470.0,6470.0,28391
2017-06-15,6470.0,6510.0,6410.0,6470.0,6470.0,19731
2017-06-16,6420.0,6470.0,6370.0,6420.0,6420.0,47524
2017-06-19,6360.0,6420.0,6280.0,6300.0,6300.0,76931
2017-06-20,6320.0,6330.0,6230.0,6240.0,6240.0,54953
2017-06-21,6190.0,6240.0,6180.0,6230.0,6230.0,31219
2017-06-22,6230.0,6270.0,6160.0,6230.0,6230.0,41814
2017-06-23,6250.0,6300.0,6160.0,6260.0,6260.0,41636
2017-06-26,6290.0,6290.0,6160.0,6170.0,6170.0,42491
2017-06-27,6160.0,6250.0,6160.0,6200.0,6200.0,48689
2017-06-28,6230.0,6230.0,6080.0,6100.0,6100.0,76127
2017-06-29,6070.0,6150.0,6070.0,6120.0,6120.0,46152
2017-06-30,6150.0,6410.0,6150.0,6230.0,6230.0,117356
2017-07-03,6230.0,6420.0,6220.0,6410.0,6410.0,58836
2017-07-04,6410.0,6470.0,6360.0,6400.0,6400.0,47519
2017-07-05,6410.0,6450.0,6340.0,6410.0,6410.0,40689
2017-07-06,6390.0,6420.0,6380.0,6410.0,6410.0,14719
2017-07-07,6350.0,6410.0,6340.0,6360.0,6360.0,29941
