Date,Open,High,Low,Close,Adj Close,Volume
2008-06-13,48000.0,53700.0,40800.0,40800.0,38203.402344,738800
2008-06-16,40500.0,40900.0,34900.0,36100.0,33802.515625,368800
2008-06-17,36650.0,39100.0,35300.0,37200.0,34832.515625,217700
2008-06-18,35700.0,38000.0,33550.0,33850.0,31695.712891,167700
2008-06-19,34100.0,35200.0,30950.0,31300.0,29307.998047,175800
2008-06-20,31550.0,32450.0,29600.0,30250.0,28324.824219,165700
2008-06-23,30050.0,30850.0,29100.0,30150.0,28231.185547,73700
2008-06-24,30150.0,34650.0,30150.0,31100.0,29120.728516,328300
2008-06-25,31500.0,32300.0,30050.0,30800.0,28839.818359,70100
2008-06-26,30850.0,31300.0,29500.0,29500.0,27622.556641,59800
2008-06-27,28500.0,28500.0,25100.0,25100.0,23502.582031,159700
2008-06-30,24500.0,26850.0,23450.0,24000.0,22472.585938,130800
2008-07-01,24150.0,24600.0,22400.0,22700.0,21255.322266,70400
2008-07-02,23200.0,25500.0,22100.0,24350.0,22800.310547,165000
2008-07-03,23400.0,25400.0,23150.0,24800.0,23221.673828,76700
2008-07-04,25000.0,28300.0,24400.0,26100.0,24438.939453,211600
2008-07-07,26100.0,27450.0,23500.0,23650.0,22144.861328,103500
2008-07-08,23650.0,23850.0,20150.0,20750.0,19429.423828,108100
2008-07-09,21150.0,21850.0,19750.0,19850.0,18586.703125,64100
2008-07-10,19100.0,20850.0,19000.0,20800.0,19476.242188,52200
2008-07-11,20500.0,21250.0,20200.0,21200.0,19850.783203,44500
2008-07-14,21250.0,24350.0,21250.0,24350.0,22800.310547,54500
2008-07-15,26700.0,26750.0,24000.0,24000.0,22472.585938,135000
2008-07-16,24900.0,26600.0,23500.0,24450.0,22893.947266,106500
2008-07-17,25400.0,28000.0,24900.0,26400.0,24719.84375,149300
2008-07-18,27000.0,29200.0,25600.0,26400.0,24719.84375,170200
2008-07-21,26900.0,26950.0,25450.0,25500.0,23877.123047,75200
2008-07-22,25250.0,27300.0,24650.0,24800.0,23221.673828,81500
2008-07-23,25150.0,26100.0,24800.0,25000.0,23408.945313,48600
2008-07-24,25200.0,28750.0,25200.0,28750.0,26920.287109,166500
2008-07-25,28650.0,32000.0,28250.0,29150.0,27294.830078,345900
2008-07-28,29550.0,30850.0,28350.0,29850.0,27950.279297,154200
2008-07-29,29300.0,31050.0,27150.0,27750.0,25983.927734,153000
2008-07-30,28650.0,31900.0,28100.0,31900.0,29869.814453,306000
2008-07-31,31900.0,32250.0,29650.0,29700.0,27809.826172,233400
2008-08-01,29700.0,31550.0,29700.0,29800.0,27903.462891,167200
2008-08-04,30100.0,30900.0,29000.0,29000.0,27154.375,64400
2008-08-05,28650.0,29400.0,26100.0,26900.0,25188.025391,82000
2008-08-06,27100.0,29150.0,27100.0,28300.0,26498.923828,111700
2008-08-07,28800.0,31450.0,27550.0,27800.0,26030.748047,185400
2008-08-08,28200.0,28500.0,26350.0,26500.0,24813.480469,78700
2008-08-11,26900.0,27250.0,25900.0,26050.0,24392.121094,21600
2008-08-12,25400.0,25850.0,24600.0,25500.0,23877.123047,31500
2008-08-13,25750.0,26300.0,24150.0,24150.0,22613.041016,26800
2008-08-14,23900.0,24450.0,23650.0,24150.0,22613.041016,20700
2008-08-18,24000.0,25000.0,23400.0,24200.0,22659.857422,24300
2008-08-19,24000.0,24500.0,23200.0,23650.0,22144.861328,21600
2008-08-20,23550.0,24000.0,22350.0,22350.0,20927.597656,35600
2008-08-21,22750.0,23000.0,21150.0,21150.0,19803.96875,25700
2008-08-22,20550.0,21150.0,19400.0,19850.0,18586.703125,38100
2008-08-25,20300.0,21500.0,20050.0,20750.0,19429.423828,29500
2008-08-26,20000.0,21300.0,19600.0,21300.0,19944.419922,23400
2008-08-27,21400.0,23250.0,21400.0,22600.0,21161.6875,98300
2008-08-28,22800.0,22800.0,20000.0,20600.0,19288.970703,34900
2008-08-29,20700.0,21100.0,19800.0,20000.0,18727.15625,31500
2008-09-01,19500.0,19900.0,17100.0,17100.0,16011.716797,39100
2008-09-02,17100.0,17900.0,14850.0,15300.0,14326.274414,59600
2008-09-03,15800.0,16450.0,15100.0,16100.0,15075.360352,46300
2008-09-04,15900.0,17500.0,15500.0,16750.0,15683.993164,48500
2008-09-05,15950.0,17450.0,15850.0,16600.0,15543.540039,21800
2008-09-08,17250.0,18100.0,17000.0,17800.0,16667.169922,30400
2008-09-09,18000.0,18600.0,17300.0,17500.0,16386.263672,29100
2008-09-10,17200.0,17850.0,17100.0,17550.0,16433.078125,21000
2008-09-11,17400.0,18600.0,17400.0,18150.0,16994.892578,24700
2008-09-12,18300.0,18850.0,18300.0,18800.0,17603.529297,18800
2008-09-16,16150.0,17100.0,16000.0,16000.0,14981.723633,50100
2008-09-17,16700.0,17200.0,16600.0,16900.0,15824.446289,23000
2008-09-18,16050.0,16450.0,15900.0,16300.0,15262.631836,20400
2008-09-19,16800.0,17850.0,16800.0,16850.0,15777.62793,43200
2008-09-22,17150.0,17450.0,16300.0,16350.0,15309.449219,21300
2008-09-23,16350.0,18800.0,16300.0,18800.0,17603.529297,46600
2008-09-24,20100.0,21500.0,19600.0,19600.0,18352.613281,166100
2008-09-25,19500.0,20500.0,19400.0,20150.0,18867.611328,55400
2008-09-26,20350.0,21250.0,19700.0,21000.0,19663.511719,76800
2008-09-29,22250.0,22800.0,19000.0,19500.0,18258.976563,78300
2008-09-30,17150.0,18750.0,16750.0,18350.0,17182.167969,46500
2008-10-01,18650.0,20000.0,18350.0,18500.0,17322.619141,54800
2008-10-02,18600.0,19200.0,18200.0,18350.0,17182.167969,19800
2008-10-06,18050.0,18400.0,16400.0,16550.0,15496.722656,36600
2008-10-07,15650.0,16550.0,15300.0,16400.0,15356.269531,28100
2008-10-08,15450.0,16100.0,14100.0,14450.0,13530.370117,30200
2008-10-09,14250.0,15100.0,14050.0,14750.0,13811.27832,26100
2008-10-10,13500.0,14000.0,12850.0,13800.0,12921.737305,30700
2008-10-13,14150.0,15500.0,14150.0,15300.0,14326.274414,28900
2008-10-14,16250.0,16400.0,15800.0,15800.0,14794.454102,26400
2008-10-15,15800.0,16100.0,15200.0,15700.0,14700.817383,15600
2008-10-16,14500.0,14900.0,13350.0,13400.0,12547.194336,38000
2008-10-17,14000.0,14200.0,12600.0,13400.0,12547.194336,20500
2008-10-20,14000.0,15400.0,14000.0,15400.0,14419.90918,72400
