Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,169200.0,206880.0,169200.0,4310.0,206880.0,5942
2000-01-05,213600.0,237840.0,208800.0,4730.0,227040.0,9788
2000-01-06,235200.0,235200.0,216000.0,4725.0,226800.0,6425
2000-01-07,234960.0,234960.0,216000.0,4795.0,230160.0,5525
2000-01-10,235200.0,259200.0,230160.0,5325.0,255600.0,15862
2000-01-11,261600.0,272400.0,246000.0,5250.0,252000.0,14600
2000-01-12,244800.0,266400.0,235200.0,4900.0,235200.0,14171
2000-01-13,237600.0,237600.0,211200.0,4575.0,219600.0,6671
2000-01-14,219600.0,240000.0,211200.0,5000.0,240000.0,8388
2000-01-17,242400.0,271200.0,241200.0,5100.0,244800.0,10992
2000-01-18,242400.0,268800.0,235200.0,5350.0,256800.0,11662
2000-01-19,252000.0,294000.0,247200.0,5150.0,247200.0,26767
2000-01-20,252000.0,259200.0,226800.0,4750.0,228000.0,8058
2000-01-21,228240.0,239760.0,216240.0,4575.0,219600.0,7675
2000-01-24,219600.0,227520.0,204000.0,4255.0,204240.0,10667
2000-01-25,210000.0,213600.0,195840.0,4150.0,199200.0,9000
2000-01-26,194400.0,202800.0,187200.0,4100.0,196800.0,8638
2000-01-27,197040.0,207600.0,197040.0,4200.0,201600.0,6554
2000-01-28,201840.0,205200.0,192240.0,4055.0,194640.0,6717
2000-01-31,204000.0,204000.0,194160.0,4060.0,194880.0,6812
2000-02-01,201120.0,220800.0,194400.0,4200.0,201600.0,10233
2000-02-02,212400.0,220800.0,206880.0,4470.0,214560.0,6400
2000-02-03,216000.0,216000.0,206400.0,4350.0,208800.0,2817
2000-02-04,208800.0,208800.0,208800.0,4350.0,208800.0,0
2000-02-07,208800.0,218400.0,199200.0,4150.0,199200.0,3254
2000-02-08,199440.0,213600.0,194400.0,4345.0,208560.0,6596
2000-02-09,212880.0,213600.0,196800.0,4100.0,196800.0,3521
2000-02-10,199200.0,199200.0,187200.0,3950.0,189600.0,4204
2000-02-11,184560.0,191760.0,182400.0,3960.0,190080.0,5154
2000-02-14,190080.0,196560.0,184800.0,3900.0,187200.0,2646
2000-02-15,187200.0,198000.0,184800.0,3875.0,186000.0,2038
2000-02-16,176640.0,183600.0,160800.0,3425.0,164400.0,2438
2000-02-17,172800.0,180000.0,168000.0,3550.0,170400.0,2229
2000-02-18,168000.0,180000.0,158400.0,3700.0,177600.0,4054
2000-02-21,180000.0,198000.0,170400.0,3550.0,170400.0,6738
2000-02-22,173520.0,184800.0,163440.0,3500.0,168000.0,4271
2000-02-23,168720.0,178800.0,163200.0,3450.0,165600.0,7162
2000-02-24,166800.0,168000.0,140880.0,3200.0,153600.0,7621
