Date,Open,High,Low,Close,Adj Close,Volume
2011-06-10,241000.0,269000.0,208000.0,223500.0,215206.796875,570671
2011-06-13,232000.0,246000.0,223500.0,225000.0,216651.140625,461654
2011-06-14,224000.0,235000.0,217000.0,222000.0,213762.46875,388159
2011-06-15,225000.0,246500.0,224000.0,243000.0,233983.25,440514
2011-06-16,243000.0,246000.0,230500.0,230500.0,221947.0625,310544
2011-06-17,230500.0,239000.0,227000.0,233000.0,224354.296875,114192
2011-06-20,230000.0,231500.0,224000.0,228500.0,220021.265625,104823
2011-06-21,229000.0,234000.0,227500.0,232000.0,223391.40625,65895
2011-06-22,235000.0,235000.0,229000.0,231000.0,222428.5,110992
2011-06-23,229500.0,233500.0,227500.0,229500.0,220984.171875,88569
2011-06-24,233000.0,237000.0,230500.0,235000.0,226280.09375,92702
2011-06-27,232500.0,246500.0,232500.0,245000.0,235909.03125,115528
2011-06-28,248000.0,249000.0,241500.0,245000.0,235909.03125,74997
2011-06-29,246500.0,249000.0,240000.0,245000.0,235909.03125,121667
2011-06-30,242000.0,244500.0,240000.0,244500.0,235427.59375,91407
2011-07-01,243000.0,244500.0,239500.0,240000.0,231094.5625,114377
2011-07-04,242500.0,247000.0,240000.0,245500.0,236390.484375,117452
2011-07-05,247000.0,247000.0,240500.0,243000.0,233983.25,99356
2011-07-06,244000.0,245500.0,240000.0,245000.0,235909.03125,81826
2011-07-07,247000.0,256500.0,246000.0,256500.0,246982.3125,206896
2011-07-08,258000.0,263500.0,253000.0,261000.0,251315.3125,117579
2011-07-11,259500.0,266500.0,258000.0,263000.0,253241.125,115603
2011-07-12,262000.0,262000.0,254000.0,255500.0,246019.390625,70045
2011-07-13,258000.0,259500.0,251000.0,255500.0,246019.390625,45788
2011-07-14,254000.0,255000.0,246500.0,250500.0,241204.953125,69891
2011-07-15,256000.0,259000.0,254500.0,258500.0,248908.109375,76090
2011-07-18,269500.0,279000.0,268000.0,278500.0,268165.96875,281829
2011-07-19,277500.0,278000.0,270000.0,274500.0,264314.375,98275
2011-07-20,273000.0,276500.0,271500.0,273500.0,263351.46875,107629
2011-07-21,275000.0,275000.0,264000.0,273000.0,262870.03125,77937
2011-07-22,275000.0,278000.0,271500.0,275000.0,264795.84375,80121
2011-07-25,271500.0,274500.0,270000.0,274000.0,263832.96875,36320
2011-07-26,271000.0,273000.0,266000.0,273000.0,262870.03125,50949
2011-07-27,274500.0,278500.0,268500.0,277000.0,266721.625,46608
2011-07-28,277000.0,277000.0,270000.0,273000.0,262870.03125,38011
2011-07-29,273000.0,276000.0,271000.0,275000.0,264795.84375,42210
2011-08-01,273500.0,274500.0,271500.0,273500.0,263351.46875,29336
2011-08-02,274000.0,274000.0,260500.0,269500.0,259499.90625,60034
2011-08-03,262500.0,264000.0,253500.0,262500.0,252759.6875,164445
2011-08-04,267000.0,269500.0,263000.0,268000.0,258055.59375,77329
2011-08-05,255000.0,263000.0,255000.0,262000.0,252278.21875,104646
2011-08-08,258000.0,265500.0,247500.0,256000.0,246500.859375,64705
2011-08-09,250000.0,256000.0,232500.0,246000.0,236871.90625,65308
2011-08-10,255500.0,273500.0,252000.0,265000.0,255166.890625,193237
2011-08-11,257000.0,265500.0,257000.0,262000.0,252278.21875,134281
2011-08-12,265000.0,279500.0,265000.0,279000.0,268647.4375,167354
2011-08-16,281500.0,288000.0,273000.0,274000.0,263832.96875,81330
2011-08-17,271000.0,280000.0,271000.0,275000.0,264795.84375,80555
2011-08-18,273000.0,292000.0,273000.0,292000.0,281165.0625,129903
